country,MHC_exist
Afghanistan,2
Algeria,1
Argentina,1
Australia,38
Austria,6
Bangladesh,1
Belarus,0
Belgium,6
Bosnia and Herzegovina,0
Brazil,19
Brunei,0
Bulgaria,5
Canada,77
Chile,2
China,0
Colombia,1
Costa Rica,1
Croatia,1
Czech Republic,3
Denmark,5
Ecuador,1
Estonia,2
Ethiopia,0
Finland,4
France,13
Georgia,0
Germany,58
Ghana,0
Greece,4
Guatemala,1
Hong Kong,0
Hungary,1
Iceland,2
India,11
Indonesia,2
Iran,1
Ireland,16
Israel,3
Italy,2
Japan,3
Jordan,0
Kenya,0
Latvia,1
Lithuania,1
Macedonia,0
Mauritius,0
Mexico,6
Moldova,0
Netherlands,38
New Zealand,12
Nigeria,0
Norway,7
Other,2
Pakistan,2
Philippines,0
Poland,9
Portugal,9
Romania,1
Russia,8
Saudi Arabia,0
Serbia,3
Singapore,1
Slovakia,1
Slovenia,0
South Africa,5
Spain,10
Sweden,13
Switzerland,16
Taiwan,1
Thailand,0
Turkey,1
USA,1301
Ukraine,1
United Kingdom,192
Uruguay,0
Venezuela,1
Vietnam,1
Zimbabwe,0
